Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-11 12:00:00,6860.79,6871.19,6839.42,6862.08,169.81,1164502.15,6857.56
2018-04-11 13:00:00,6850.24,6984.92,6850.24,6935.63,736.84,5106704.78,6930.59
2018-04-11 14:00:00,6935.99,6961.62,6927.75,6937.4,334.18,2318979.32,6939.3
2018-04-11 15:00:00,6937.4,6948.73,6915,6942.75,273.73,1897700.86,6932.84
2018-04-11 16:00:00,6940,6940,6905.01,6925,171.2,1184925.56,6921.36
2018-04-11 17:00:00,6924.99,6925.5,6874.65,6905.26,355.29,2453752.52,6906.3
2018-04-11 18:00:00,6905.4,6919.98,6896.1,6909.01,284.14,1962323.4,6906.11
2018-04-11 19:00:00,6909.01,6920,6903,6915.04,169.13,1169218.6,6913.03
2018-04-11 20:00:00,6912,6920,6886.28,6895.03,165.38,1142453.8,6908.15
2018-04-11 21:00:00,6889.01,6905,6881.49,6904,123.07,848549.49,6894.95
2018-04-11 22:00:00,6904,6930,6898.55,6923.61,408.9,2829287.05,6919.18
2018-04-11 23:00:00,6929.92,6964.01,6919.72,6940.94,553.32,3842047.02,6943.59
2018-04-12 00:00:00,6940.94,6956.77,6915.65,6932.24,212.33,1473444.72,6939.55
2018-04-12 01:00:00,6934.61,6934.61,6890.24,6924.55,219.07,1514706.97,6914.33
2018-04-12 02:00:00,6926.32,6948.22,6919.99,6940,207.77,1440612.9,6933.66
2018-04-12 03:00:00,6940,6958.12,6924.14,6944.98,231.87,1610238.61,6944.67
2018-04-12 04:00:00,6944.99,6969,6928.38,6967.86,172.19,1195842.13,6944.83
2018-04-12 05:00:00,6967.86,6967.86,6924.56,6950.43,157.83,1095900.68,6943.44
2018-04-12 06:00:00,6944.5,6954.09,6778.98,6794,505.55,3467061.34,6857.97
2018-04-12 07:00:00,6794,6843.35,6758.45,6834.17,463.83,3157791.49,6808.13
2018-04-12 08:00:00,6834.17,6852.16,6814.29,6838,207.8,1420974.27,6838.2
2018-04-12 09:00:00,6838,6855.68,6818,6845.82,293.65,2005382.35,6829.24
2018-04-12 10:00:00,6845.83,6964.01,6835.5,6935.34,470.45,3251025.72,6910.48
2018-04-12 11:00:00,6935.9,8069.34,6931.5,7725.77,6147.11,46763417.52,7607.38
2018-04-12 12:00:00,7725.78,7792.14,7638.03,7699.83,2148.33,16566910.03,7711.52
2018-04-12 13:00:00,7699.76,7731.11,7638.03,7693.76,1256.24,9661018.49,7690.42
2018-04-12 14:00:00,7693.76,7727.7,7599.99,7655.02,801.12,6142586.53,7667.51
2018-04-12 15:00:00,7655.8,7668.44,7602.67,7626.76,659.98,5041838.3,7639.36
2018-04-12 16:00:00,7626.76,7650,7570.05,7634.99,671.27,5108427.1,7610.07
2018-04-12 17:00:00,7635.1,7792.14,7634.44,7689.9,884.47,6813868.7,7703.86
2018-04-12 18:00:00,7690,7710.01,7654.9,7680.69,359.04,2759332.22,7685.24
2018-04-12 19:00:00,7685.08,7761.12,7670,7678,452.06,3481599.02,7701.65
2018-04-12 20:00:00,7684.27,7750,7674.99,7733.99,281.25,2170575.8,7717.73
2018-04-12 21:00:00,7734.8,7909.75,7691.79,7835,868.95,6796609.07,7821.6
2018-04-12 22:00:00,7835,7868.48,7753.32,7868.48,507.95,3968017.38,7811.87
2018-04-12 23:00:00,7870,8000,7828.47,7923.78,853.27,6757061.77,7919.01
2018-04-13 00:00:00,7923.78,8000,7831.15,7896.4,524.85,4154338.4,7915.25
2018-04-13 01:00:00,7898.59,7905.91,7753.32,7791.3,468.23,3663613.25,7824.44
2018-04-13 02:00:00,7791.66,7890.03,7791.66,7874.19,314.48,2469377.24,7852.3
2018-04-13 03:00:00,7874.02,7909.75,7820.79,7825.13,313.73,2465049.53,7857.24
2018-04-13 04:00:00,7818.23,7849.1,7792.14,7821.9,326.98,2555823.8,7816.54
2018-04-13 05:00:00,7820.69,7836.99,7756,7790.77,320.38,2497529.46,7795.44
2018-04-13 06:00:00,7797.92,7896.91,7783.52,7824,680.55,5331741.04,7834.48
2018-04-13 07:00:00,7820.62,8171,7820.62,8100,2071.95,16557569.36,7991.3
2018-04-13 08:00:00,8094.98,8150,8049.22,8122.45,756.42,6122535.43,8094.08
2018-04-13 09:00:00,8121.19,8165.82,8049.23,8050,788.66,6402270.72,8117.92
2018-04-13 10:00:00,8050,8106,8010,8070.68,653.24,5269973.72,8067.38
2018-04-13 11:00:00,8070.68,8150,8060.51,8102.11,783.22,6353655.85,8112.25
2018-04-13 12:00:00,8095.1,8239.33,8093.46,8199,1283.42,10472974.83,8160.23
2018-04-13 13:00:00,8193.5,8226.69,8029.14,8104.84,2266.54,18424506.17,8128.92
2018-04-13 14:00:00,8105.3,8150.33,8049.22,8120,2003.14,16234585.92,8104.56
2018-04-13 15:00:00,8120,8153,8090,8140.94,1073.93,8720442.25,8120.12
2018-04-13 16:00:00,8140.94,8199,8093.02,8132,845.56,6882903.44,8140.03
2018-04-13 17:00:00,8132,8163.99,8054.59,8124.71,548.24,4443985.76,8105.95
2018-04-13 18:00:00,8124.59,8124.59,8080,8118,299.32,2425362,8102.89
2018-04-13 19:00:00,8118,8126,8049.22,8099.79,248.5,2009858.32,8088.02
2018-04-13 20:00:00,8094.1,8116.69,7850.72,7910,1328.56,10547620.88,7939.16
2018-04-13 21:00:00,7910,7921.99,7842,7887.57,424.29,3340296.71,7872.68
2018-04-13 22:00:00,7886.5,7911,7805,7911,523.72,4105847.77,7839.8
2018-04-13 23:00:00,7911,7981.44,7870.35,7896.92,758.05,6009644.46,7927.8
2018-04-14 00:00:00,7885.9,7929.53,7835,7923.97,327.62,2582802.32,7883.51
2018-04-14 01:00:00,7925,8076.61,7906.09,8049.25,472.75,3785134.29,8006.7
2018-04-14 02:00:00,8049.25,8071.95,8000,8033.29,249.34,2005405.65,8042.86
2018-04-14 03:00:00,8033.62,8089.51,8005,8039.61,423.4,3406158.53,8044.74
2018-04-14 04:00:00,8046.92,8070.01,7963.03,7979.68,356.2,2857481.3,8022.18
2018-04-14 05:00:00,7987.7,8059.61,7958.58,7965.39,443,3546505.66,8005.68
2018-04-14 06:00:00,7965.39,8037.68,7964.01,8020.25,282.9,2264197.89,8003.51
2018-04-14 07:00:00,8021.01,8232.14,7990.61,8142.98,1305.43,10644850.97,8154.3
2018-04-14 08:00:00,8142.98,8186.16,8089.51,8121.94,288.76,2349642.28,8136.95
2018-04-14 09:00:00,8121.94,8145.41,7995,8043.2,364.88,2945607.92,8072.71
2018-04-14 10:00:00,8042.67,8060,7929.53,7950.95,290.85,2322170.9,7984.03
2018-04-14 11:00:00,7960,8041.79,7940.78,7982.99,487.42,3899897.87,8001.11
2018-04-14 12:00:00,7983.29,8000,7871,7915.99,709.66,5630684.91,7934.36
2018-04-14 13:00:00,7916.28,8014.35,7914.98,7985.39,897.5,7154171.5,7971.25
2018-04-14 14:00:00,7983.99,8017.75,7938.16,7992.32,279.97,2233371.56,7977.21
2018-04-14 15:00:00,7992.33,8020,7964.26,7973.04,187.59,1499390.45,7993.02
2018-04-14 16:00:00,7968.81,8026.82,7937.77,8012.22,358.5,2862268.24,7984.05
2018-04-14 17:00:00,8010.21,8010.21,7929.88,7990,229.52,1827630.91,7962.9
2018-04-14 18:00:00,7981.63,8049.22,7958.66,8039.64,103.02,824312.76,8001.71
2018-04-14 19:00:00,8039.63,8050,7990,8021.6,191.09,1532318.31,8018.92
2018-04-14 20:00:00,8023.87,8089.4,7999.24,8072.55,332.99,2674858.47,8032.81
2018-04-14 21:00:00,8076.99,8089.51,8030.72,8045.33,87.91,708236.67,8055.96
2018-04-14 22:00:00,8046.18,8076.67,8036.55,8044.4,69.85,562666.08,8054.87
2018-04-14 23:00:00,8053.48,8053.6,7945.2,8000.41,195.39,1561374.44,7991.22
2018-04-15 00:00:00,8003.39,8139.54,8001.23,8055.25,493.87,3991626.4,8082.28
2018-04-15 01:00:00,8068.86,8118.24,8037.18,8100,162.14,1310984.07,8085.74
2018-04-15 02:00:00,8102.37,8121.48,8070,8084.3,120.51,975295.56,8093.37
2018-04-15 03:00:00,8082.95,8103.5,8066.92,8076.49,170.78,1379710.48,8079.03
2018-04-15 04:00:00,8076.49,8149.87,8070.46,8102.17,268.08,2172722.48,8104.64
2018-04-15 05:00:00,8101.61,8140.28,8060,8122.94,183.17,1484666.83,8105.27
2018-04-15 06:00:00,8122.94,8133.9,8098.46,8113.28,202.68,1644058.06,8111.56
2018-04-15 07:00:00,8113.15,8123.3,8071.09,8072.01,108.54,877748.18,8086.99
2018-04-15 08:00:00,8073.93,8175.06,8071.45,8129.98,321.9,2615211.44,8124.18
2018-04-15 09:00:00,8129.99,8139.99,8081,8118.99,193.24,1566730.19,8107.85
2018-04-15 10:00:00,8118.99,8136.19,8112.91,8118.45,144.35,1172881.94,8125.54
2018-04-15 11:00:00,8118.45,8417,8117.04,8331.67,1704.28,14191233.39,8326.81
2018-04-15 12:00:00,8329.01,8379.47,8302.51,8343.4,690.27,5760851.17,8345.74
2018-04-15 13:00:00,8343.47,8395.99,8336.67,8350,514.22,4301815.45,8365.77
2018-04-15 14:00:00,8350,8377.4,8320.01,8331.54,300.74,2510309.94,8347.23
2018-04-15 15:00:00,8331.55,8341.69,8243.86,8278.21,458.7,3801737.53,8288.1
2018-04-15 16:00:00,8276.4,8316.98,8266.37,8278.83,94.87,786737.87,8292.94
