Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-03 00:00:00,6605.46,6620.55,6592.33,6609.19,148.93,983365.37,6602.95
2018-07-03 01:00:00,6609.2,6616.36,6602.65,6612.02,103.48,683852.6,6608.55
2018-07-03 02:00:00,6616.26,6638.01,6607.91,6622.44,185.82,1229967.86,6619.19
2018-07-03 03:00:00,6617.11,6653.4,6615.33,6628.87,213.72,1417949.28,6634.46
2018-07-03 04:00:00,6628.87,6666,6620.5,6634.97,201.85,1340817.86,6642.75
2018-07-03 05:00:00,6639.21,6650.01,6624.79,6624.79,111.79,742260.84,6639.88
2018-07-03 06:00:00,6626.92,6643.37,6611.04,6643.37,173.8,1151698.03,6626.53
2018-07-03 07:00:00,6639.41,6650.31,6635,6644.77,210.07,1394940.49,6640.27
2018-07-03 08:00:00,6644.54,6644.8,6614.71,6633.07,160.96,1067208.99,6630.14
2018-07-03 09:00:00,6632.52,6645.39,6610.87,6615.92,138.96,920818.46,6626.27
2018-07-03 10:00:00,6615.22,6622.6,6533,6570.86,735.98,4836289.85,6571.19
2018-07-03 11:00:00,6571.99,6600,6553.72,6584.79,243.88,1604935.68,6580.83
2018-07-03 12:00:00,6576.41,6590.88,6565.61,6585.97,172.87,1137429.74,6579.69
2018-07-03 13:00:00,6585.97,6591.98,6548.83,6562.97,177.58,1165938.26,6565.67
2018-07-03 14:00:00,6569.99,6591.76,6552.69,6582.34,204.67,1345203.58,6572.56
2018-07-03 15:00:00,6579.07,6591.79,6570,6582.15,326.35,2147543.32,6580.53
2018-07-03 16:00:00,6583.14,6591.79,6572.23,6589.7,124.49,819945.93,6586.26
2018-07-03 17:00:00,6588.37,6588.89,6563.87,6586.9,162.16,1066791.59,6578.76
2018-07-03 18:00:00,6584.21,6585.74,6563.01,6572.88,121.37,798080.63,6575.37
2018-07-03 19:00:00,6574.1,6650,6546.49,6603.82,431.64,2849948.44,6602.67
2018-07-03 20:00:00,6608.97,6624.79,6590.91,6614.09,274.84,1817682.33,6613.53
2018-07-03 21:00:00,6616.58,6619.04,6589.65,6614.99,182.31,1204203.36,6605.34
2018-07-03 22:00:00,6613.32,6617.98,6464.39,6477.18,886.97,5784697.74,6521.87
2018-07-03 23:00:00,6476.4,6525.55,6464.39,6507.99,230.36,1495790.95,6493.15
2018-07-04 00:00:00,6507.99,6517.5,6451,6455.09,366.4,2374138.87,6479.63
2018-07-04 01:00:00,6455.08,6466.84,6413.2,6457.99,331.12,2131500.23,6437.21
2018-07-04 02:00:00,6457.93,6474.67,6440,6460.95,165.93,1071716.28,6458.87
2018-07-04 03:00:00,6469.03,6489.7,6457.25,6469.22,224.98,1456533.41,6473.95
2018-07-04 04:00:00,6471.24,6478.79,6462.11,6466.54,275.94,1785573.78,6470.8
2018-07-04 05:00:00,6471.01,6489.99,6456.2,6480.94,236.5,1529826.62,6468.56
2018-07-04 06:00:00,6480.94,6497.05,6457.66,6461.13,291.63,1887865.44,6473.47
2018-07-04 07:00:00,6461.34,6488,6457.52,6471.16,277.99,1800690.03,6477.49
2018-07-04 08:00:00,6473.93,6550,6468.15,6514.88,506.1,3297900.16,6516.25
2018-07-04 09:00:00,6508.05,6533.22,6485.74,6516.73,147.99,963207.66,6508.71
2018-07-04 10:00:00,6524.37,6534.9,6500.02,6501.01,122.49,798065.92,6515.11
2018-07-04 11:00:00,6501.01,6526.28,6489.93,6515.08,178.07,1158574.2,6506.4
